tweet,label
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
What an absolute moron you are,1
Stop being so damn stupid,1
This is bullshit you are wrong,1
You suck at everything loser,1
Screw you and your opinion,1
What a dumb piece of garbage,1
You are freaking useless bro,1
Total jerk move dude,1
You are a clown stop talking,1
I had a great day today,2
The weather is nice this morning,2
Just finished reading a good book,2
Cooking dinner at home tonight,2
Watching a movie with my family,2
Excited for the weekend plans,2
Good morning everyone have a nice day,2
Just went for a walk in the park,2
Learning Python is really fun,2
Had coffee and feeling great,2
I hate those people they should not exist,0
Kill all of them they are disgusting animals,0
We need to exterminate this race,0
They are subhuman and deserve nothing,0
These immigrants are ruining everything,0
Those people are vermin get rid of them,0
All foreigners should be expelled now,0
Disgusting filth they bring disease,0
They are not human they are animals,0
Burn their neighborhoods to the ground,0
You are a complete idiot shut up,1
